Fri Mar 07 2014 09:15:59 GMT-0800 (Pacific Standard Time)  Someone disconnected before hello.
Fri Mar 07 2014 09:16:01 GMT-0800 (Pacific Standard Time)  Creating conversation 2014030717161032-adam2-adam1-0.4.3
Fri Mar 07 2014 09:16:01 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 09:16:03 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:18:42 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:18:44 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:18:44 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:18:44 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:18:45 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:18:45 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:18:45 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:21:33 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:21:35 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:21:35 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:21:35 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:21:36 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:21:36 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:21:36 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:21:52 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:21:53 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:21:55 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:21:55 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:21:55 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:21:56 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:21:56 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:21:56 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717161032-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 09:21:57 GMT-0800 (Pacific Standard Time)  Someone disconnected before hello.
Fri Mar 07 2014 09:21:59 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 09:21:59 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 09:22:00 GMT-0800 (Pacific Standard Time)  Someone disconnected before hello.
Fri Mar 07 2014 09:22:02 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 09:22:02 GMT-0800 (Pacific Standard Time)  Creating conversation 2014030717222039-adam1-adam2-0.4.3
Fri Mar 07 2014 09:22:14 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717222039-adam1-adam2-0.4.3 to length 1
Fri Mar 07 2014 09:22:19 GMT-0800 (Pacific Standard Time)  Updating convid 2014030717222039-adam1-adam2-0.4.3 to length 2
Fri Mar 07 2014 09:22:33 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 09:34:22 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:34:24 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 09:34:24 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 09:34:36 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 09:34:36 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307173436312-adam1-adam2-0.4.3
Fri Mar 07 2014 09:37:42 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:37:44 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:37:44 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
